Area,County,CancerType,Sex,AgeAdjustedRate,CaseCount,Population
Tennessee,Trousdale County,Female Breast,Female,81,22,20360
Tennessee,Bledsoe County,Female Breast,Female,84.3,35,29739
Tennessee,Decatur County,Female Breast,Female,85.5,40,29519
Tennessee,Van Buren County,Female Breast,Female,85.6,20,14147
Tennessee,Lewis County,Female Breast,Female,85.2,36,30495
Tennessee,Henderson County,Female Breast,Female,91.7,87,72011
Tennessee,Carroll County,Female Breast,Female,97.6,104,72664
Tennessee,Jackson County,Female Breast,Female,99.2,44,28828
Tennessee,Chester County,Female Breast,Female,94.6,49,44342
Tennessee,Union County,Female Breast,Female,99,63,48175
Tennessee,Wayne County,Female Breast,Female,92.9,53,37626
Tennessee,Meigs County,Female Breast,Female,95.6,40,29398
Tennessee,Lauderdale County,Female Breast,Female,98.5,81,64847
Tennessee,Monroe County,Female Breast,Female,96,157,114598
Tennessee,Grainger County,Female Breast,Female,103.6,85,56946
Tennessee,Humphreys County,Female Breast,Female,106.9,70,46166
Tennessee,Tipton County,Female Breast,Female,103.9,184,155886
Tennessee,Weakley County,Female Breast,Female,107.5,122,86994
Tennessee,Smith County,Female Breast,Female,100.8,63,48373
Tennessee,Pickett County,Female Breast,Female,101.8,18,12710
Tennessee,Lincoln County,Female Breast,Female,101.9,119,85442
Tennessee,McMinn County,Female Breast,Female,106.5,198,134520
Tennessee,Macon County,Female Breast,Female,105.5,76,58829
Tennessee,Polk County,Female Breast,Female,107.1,61,42012
Tennessee,McNairy County,Female Breast,Female,99.9,98,66157
Tennessee,Overton County,Female Breast,Female,107.4,85,55872
Tennessee,Perry County,Female Breast,Female,100.3,25,19444
Tennessee,Giles County,Female Breast,Female,103.6,114,74367
Tennessee,Hardin County,Female Breast,Female,105,102,66388
Tennessee,Hawkins County,Female Breast,Female,104.9,214,143808
Tennessee,Sequatchie County,Female Breast,Female,122,65,36992
Tennessee,Hickman County,Female Breast,Female,117.8,88,57935
Tennessee,Fentress County,Female Breast,Female,116.3,78,45618
Tennessee,Cocke County,Female Breast,Female,108.9,135,91067
Tennessee,DeKalb County,Female Breast,Female,110.4,78,48362
Tennessee,Bedford County,Female Breast,Female,115.8,161,117587
Tennessee,Coffee County,Female Breast,Female,115.2,202,137545
Tennessee,Blount County,Female Breast,Female,122.7,530,324132
Tennessee,Crockett County,Female Breast,Female,122.6,61,38161
Tennessee,Johnson County,Female Breast,Female,108.4,62,41495
Tennessee,Scott County,Female Breast,Female,125.7,83,55779
Tennessee,Shelby County,Female Breast,Female,128.8,3432,2454672
Tennessee,Sevier County,Female Breast,Female,133,444,240760
Tennessee,Knox County,Female Breast,Female,129.3,1756,1151304
Tennessee,Houston County,Female Breast,Female,129.2,37,20904
Tennessee,Anderson County,Female Breast,Female,135.7,367,193822
Tennessee,Davidson County,Female Breast,Female,126.7,2269,1733980
Tennessee,Claiborne County,Female Breast,Female,133.6,141,80889
Tennessee,Clay County,Female Breast,Female,124,35,19509
Tennessee,Cumberland County,Female Breast,Female,116,284,148161
Tennessee,Benton County,Female Breast,Female,118.5,72,41266
Tennessee,Dyer County,Female Breast,Female,121.1,143,98076
Tennessee,Fayette County,Female Breast,Female,120.6,170,98891
Tennessee,Campbell County,Female Breast,Female,113.8,171,102321
Tennessee,Cannon County,Female Breast,Female,111.8,52,34681
Tennessee,Dickson County,Female Breast,Female,129.3,201,129224
Tennessee,Jefferson County,Female Breast,Female,125.3,223,133567
