Area,County,CancerType,Sex,AgeAdjustedRate,CaseCount,Population
Georgia,Dooly County,Female Breast,Female,49.1,23,32667
Georgia,Twiggs County,Female Breast,Female,67.4,19,21487
Georgia,Pulaski County,Female Breast,Female,70.6,32,32797
Georgia,Candler County,Female Breast,Female,69.9,22,27852
Georgia,Marion County,Female Breast,Female,74.5,22,21759
Georgia,Telfair County,Female Breast,Female,67.5,32,33755
Georgia,Wilcox County,Female Breast,Female,85.4,19,18164
Georgia,Johnson County,Female Breast,Female,81,26,21602
Georgia,Banks County,Female Breast,Female,84.5,47,45060
Georgia,Emanuel County,Female Breast,Female,94.4,69,57204
Georgia,Catoosa County,Female Breast,Female,87.4,185,168580
Georgia,Murray County,Female Breast,Female,94.2,106,99594
Georgia,Brooks County,Female Breast,Female,84.9,47,40007
Georgia,Randolph County,Female Breast,Female,92.2,27,19555
Georgia,Jefferson County,Female Breast,Female,97.6,54,41534
Georgia,McIntosh County,Female Breast,Female,95.7,54,35724
Georgia,Whitfield County,Female Breast,Female,100.1,280,260458
Georgia,Gordon County,Female Breast,Female,103.9,170,141784
Georgia,Long County,Female Breast,Female,100.6,36,43008
Georgia,Treutlen County,Female Breast,Female,100.1,21,16765
Georgia,Dawson County,Female Breast,Female,95,73,57672
Georgia,Jeff Davis County,Female Breast,Female,104.6,49,38064
Georgia,Dade County,Female Breast,Female,105.6,56,41642
Georgia,Appling County,Female Breast,Female,102.1,56,46099
Georgia,Ben Hill County,Female Breast,Female,103.2,58,45461
Georgia,Brantley County,Female Breast,Female,95.7,53,46319
Georgia,Walker County,Female Breast,Female,96,212,173856
Georgia,Dodge County,Female Breast,Female,102.5,66,50848
Georgia,Pike County,Female Breast,Female,102.6,56,45268
Georgia,Early County,Female Breast,Female,103.6,36,27822
Georgia,Lamar County,Female Breast,Female,115.3,63,47431
Georgia,Heard County,Female Breast,Female,115.7,44,29118
Georgia,Haralson County,Female Breast,Female,110.6,101,73642
Georgia,Wilkinson County,Female Breast,Female,116.6,37,24156
Georgia,Grady County,Female Breast,Female,111.1,90,64981
Georgia,Worth County,Female Breast,Female,111.4,78,54378
Georgia,Lumpkin County,Female Breast,Female,109.9,103,78465
Georgia,McDuffie County,Female Breast,Female,116.4,83,57024
Georgia,Schley County,Female Breast,Female,115.5,18,13399
Georgia,Jasper County,Female Breast,Female,115.8,49,34815
Georgia,Chattahoochee County,Female Breast,Female,Data Suppressed,Data Suppressed,19254
Georgia,Jenkins County,Female Breast,Female,127.8,36,20964
Georgia,Lanier County,Female Breast,Female,134.9,38,25646
Georgia,Laurens County,Female Breast,Female,123.2,191,124752
Georgia,Henry County,Female Breast,Female,134.5,784,558203
Georgia,Wheeler County,Female Breast,Female,Data Suppressed,Data Suppressed,13903
Georgia,White County,Female Breast,Female,122.8,129,71931
Georgia,Polk County,Female Breast,Female,121.1,154,104821
Georgia,Washington County,Female Breast,Female,155.6,104,50798
Georgia,Wayne County,Female Breast,Female,124.8,107,72609
Georgia,Webster County,Female Breast,Female,Data Suppressed,Data Suppressed,6629
Georgia,Hancock County,Female Breast,Female,118.1,34,19817
Georgia,Harris County,Female Breast,Female,126.1,136,82413
Georgia,Hart County,Female Breast,Female,118,109,64515
Georgia,Glynn County,Female Breast,Female,130.2,365,217490
Georgia,Wilkes County,Female Breast,Female,153.5,62,25951
Georgia,Mitchell County,Female Breast,Female,135.7,94,54377
Georgia,Meriwether County,Female Breast,Female,128.6,96,55210
Georgia,Miller County,Female Breast,Female,124.5,27,15348
Georgia,Walton County,Female Breast,Female,118.9,308,224298
Georgia,Greene County,Female Breast,Female,149.5,106,42468
Georgia,Ware County,Female Breast,Female,126.4,145,89821
Georgia,Gwinnett County,Female Breast,Female,127.8,2762,2228777
Georgia,Bulloch County,Female Breast,Female,119.4,199,185580
Georgia,Burke County,Female Breast,Female,130.8,92,59182
Georgia,Jones County,Female Breast,Female,129.8,115,73624
Georgia,Lowndes County,Female Breast,Female,122.1,336,289750
Georgia,Lincoln County,Female Breast,Female,129.3,39,19803
Georgia,Screven County,Female Breast,Female,139.2,66,35898
Georgia,Troup County,Female Breast,Female,124.7,253,179182
Georgia,Houston County,Female Breast,Female,120.1,485,381903
Georgia,Irwin County,Female Breast,Female,122.6,35,22769
Georgia,Liberty County,Female Breast,Female,119.9,155,155059
Georgia,Coweta County,Female Breast,Female,118,454,347020
Georgia,Crawford County,Female Breast,Female,123.5,51,30928
Georgia,Jackson County,Female Breast,Female,123.6,228,157719
Georgia,Cook County,Female Breast,Female,136.5,72,44474
Georgia,Crisp County,Female Breast,Female,115.3,90,60871
Georgia,Decatur County,Female Breast,Female,113.3,96,69807
Georgia,Fannin County,Female Breast,Female,113.4,111,61957
Georgia,Evans County,Female Breast,Female,138,42,27579
Georgia,Atkinson County,Female Breast,Female,126.4,28,20606
Georgia,Monroe County,Female Breast,Female,106.8,102,66632
Georgia,Charlton County,Female Breast,Female,107.5,36,26352
Georgia,Baker County,Female Breast,Female,127.4,16,8487
Georgia,Bacon County,Female Breast,Female,128.9,43,28572
Georgia,Fayette County,Female Breast,Female,135.5,490,281548
Georgia,Carroll County,Female Breast,Female,115.3,352,291100
Georgia,Montgomery County,Female Breast,Female,133.3,35,21633
Georgia,Morgan County,Female Breast,Female,133.8,83,46243
Georgia,Camden County,Female Breast,Female,129.4,160,125922
Georgia,Newton County,Female Breast,Female,133.1,386,271789
Georgia,Muscogee County,Female Breast,Female,135.4,753,508949
Georgia,Thomas County,Female Breast,Female,123.2,185,118053
Georgia,Spalding County,Female Breast,Female,129.6,267,165161
Georgia,Stephens County,Female Breast,Female,119,106,66715
Georgia,Seminole County,Female Breast,Female,116.4,37,22649
Georgia,Sumter County,Female Breast,Female,122.1,117,81625
Georgia,Stewart County,Female Breast,Female,113.9,19,11139
Georgia,Toombs County,Female Breast,Female,109.1,92,71653
Georgia,Towns County,Female Breast,Female,125.5,66,28786
Georgia,Tift County,Female Breast,Female,130.6,156,104734
Georgia,Turner County,Female Breast,Female,118.8,33,20679
Georgia,Chatham County,Female Breast,Female,133.1,1072,731283
Georgia,Bartow County,Female Breast,Female,114.9,332,257759
Georgia,Clay County,Female Breast,Female,Data Suppressed,Data Suppressed,8184
Georgia,Pierce County,Female Breast,Female,112.8,72,48248
Georgia,DeKalb County,Female Breast,Female,134.1,2677,1909233
Georgia,Richmond County,Female Breast,Female,134,768,518446
Georgia,Madison County,Female Breast,Female,126.9,114,71773
Georgia,Lee County,Female Breast,Female,111.5,87,72398
Georgia,Bleckley County,Female Breast,Female,107.2,41,33345
Georgia,Elbert County,Female Breast,Female,133.8,91,50512
Georgia,Echols County,Female Breast,Female,Data Suppressed,Data Suppressed,9985
Georgia,Butts County,Female Breast,Female,108.7,77,54873
Georgia,Calhoun County,Female Breast,Female,116,20,13065
Georgia,Peach County,Female Breast,Female,111.8,90,70056
Georgia,Macon County,Female Breast,Female,117,46,31622
Georgia,Habersham County,Female Breast,Female,112.3,158,114860
Georgia,Berrien County,Female Breast,Female,114.2,70,48128
Georgia,Effingham County,Female Breast,Female,129.7,188,140273
Georgia,Oglethorpe County,Female Breast,Female,125.7,61,36981
Georgia,Cherokee County,Female Breast,Female,125,814,585162
Georgia,Tattnall County,Female Breast,Female,141.7,92,53738
Georgia,Pickens County,Female Breast,Female,142.9,149,75948
Georgia,Baldwin County,Female Breast,Female,118.3,148,113412
Georgia,Barrow County,Female Breast,Female,119.2,238,186393
Georgia,Union County,Female Breast,Female,124.3,135,56460
Georgia,Upson County,Female Breast,Female,129.1,116,68973
Georgia,Warren County,Female Breast,Female,209.2,41,14469
