State,County,Normalization 
Alabama,Autauga County,Autauga County
Alabama,Barbour County,Barbour County
Alabama,Blount County,Blount County
Alabama,Butler County,Butler County
Alabama,Chambers County,Chambers County
Alabama,Chilton County,Chilton County
Alabama,Colbert County,Colbert County
Alabama,Coosa County,Coosa County
Alabama,Covington County,Covington County
Alabama,Cullman County,Cullman County
Alabama,DeKalb County,DeKalb County
Alabama,Elmore County,Elmore County
Alabama,Escambia County,Escambia County
Alabama,Etowah County,Etowah County
Alabama,Franklin County,Franklin County
Alabama,Geneva County,Geneva County
Alabama,Greene County,Greene County
Alabama,Hale County,Hale County
Alabama,Jackson County,Jackson County
Alabama,Jefferson County,Jefferson County
Alabama,Lamar County,Lamar County
Alabama,Lawrence County,Lawrence County
Alabama,Lee County,Lee County
Alabama,Marion County,Marion County
Alabama,Mobile County,Mobile County
Alabama,Morgan County,Morgan County
Alabama,Pickens County,Pickens County
Alabama,Randolph County,Randolph County
Alabama,Shelby County,Shelby County
Alabama,St. Clair County,St. Clair County
Alabama,Sumter County,Sumter County
Alabama,Talladega County,Talladega County
Alabama,Tallapoosa County,Tallapoosa County
Alabama,Tuscaloosa County,Tuscaloosa County
Alabama,Walker County,Walker County
Alabama,Washington County,Washington County
Arkansas,Arkansas County,Arkansas County
Arkansas,Ashley County,Ashley County
Arkansas,Benton County,Benton County
Arkansas,Bradley County,Bradley County
Arkansas,Clay County,Clay County
Arkansas,Cleburne County,Cleburne County
Arkansas,Columbia County,Columbia County
Arkansas,Conway County,Conway County
Arkansas,Craighead County,Craighead County
Arkansas,Crawford County,Crawford County
Arkansas,Dallas County,Dallas County
Arkansas,Faulkner County,Faulkner County
Arkansas,Fulton County,Fulton County
Arkansas,Garland County,Garland County
Arkansas,Grant County,Grant County
Arkansas,Greene County,Greene County
Arkansas,Hot Spring County,Hot Spring County
Arkansas,Jackson County,Jackson County
Arkansas,Lee County,Lee County
Arkansas,Little River County,Little River County
Arkansas,Lonoke County,Lonoke County
Arkansas,Madison County,Madison County
Arkansas,Marion County,Marion County
Arkansas,Mississippi County,Mississippi County
Arkansas,Montgomery County,Montgomery County
Arkansas,Newton County,Newton County
Arkansas,Ouachita County,Ouachita County
Arkansas,Perry County,Perry County
Arkansas,Phillips County,Phillips County
Arkansas,Pike County,Pike County
Arkansas,Polk County,Polk County
Arkansas,Pope County,Pope County
Arkansas,Pulaski County,Pulaski County
Arkansas,Randolph County,Randolph County
Arkansas,Saline County,Saline County
Arkansas,Sebastian County,Sebastian County
Arkansas,St. Francis County,St. Francis County
Arkansas,Union County,Union County
Arkansas,Van Buren County,Van Buren County
